part_name,part_number,price_usd,product_url,compatible_models
"Samsung DB92-03335C Assembly Kit;Outdoor,Am9000H,E",DB92-03335C,240.95,https://samsungparts.com/products/db92-03335c,DB92-03335C
Samsung DB96-03060G Assembly Evap,DB96-03060G,228.95,https://samsungparts.com/products/db96-03060g,DB96-03060G
Samsung DB93-09987C Main Pcb Assembly-Out,DB93-09987C,233.95,https://samsungparts.com/products/db93-09987c,DB93-09987C
Samsung DB92-03335B Assembly Kit,DB92-03335B,280.95,https://samsungparts.com/products/db92-03335b,DB92-03335B
Samsung DB93-12326E Main Pcb Assembly,DB93-12326E,278.95,https://samsungparts.com/products/db93-12326e,DB93-12326E
Samsung DB93-03454A Main Pcb Assembly-Inverter,DB93-03454A,245.95,https://samsungparts.com/products/db93-03454a,DB93-03454A
Samsung DB92-03321E Main Pcb Assembly,DB92-03321E,233.95,https://samsungparts.com/products/db92-03321e,DB92-03321E
Samsung DB31-00671A Motor Bldc Fan,DB31-00671A,313.95,https://samsungparts.com/products/db31-00671a,DB31-00671A
"Samsung 48A135IV1EG Rcp, 48, 208-230, R22",48A135IV1EG,300.95,https://samsungparts.com/products/48a135iv1eg,48A135IV1EG
Samsung DB90-06115C Assembly Case-Pcb,DB90-06115C,261.95,https://samsungparts.com/products/db90-06115c,DB90-06115C
Samsung DB31-00364C Motor Fan,DB31-00364C,254.95,https://samsungparts.com/products/db31-00364c,DB31-00364C; MOTOR
"Samsung DB92-04837E Assembly Module;Inverter,Qmd R",DB92-04837E,279.95,https://samsungparts.com/products/db92-04837e,DB92-04837E
Samsung DB62-02085A Valve Expan-Elec,DB62-02085A,173.95,https://samsungparts.com/products/db62-02085a,DB62-02085A; VALVE
Samsung DB92-02932A Main Pcb Assembly,DB92-02932A,244.95,https://samsungparts.com/products/db92-02932a,DB92-02932A
Samsung DB93-11266B Assembly Display-We10,DB93-11266B,197.95,https://samsungparts.com/products/db93-11266b,DB93-11266B
Samsung DB93-16995A Assembly Display;Awr-Wg00N,DB93-16995A,178.95,https://samsungparts.com/products/db93-16995a,DB93-16995A
Samsung DB93-05132A Assembly Control In,DB93-05132A,176.95,https://samsungparts.com/products/db93-05132a,DB93-05132A; CONTROL
Samsung DB93-05877J Main Pcb Assembly-In,DB93-05877J,172.95,https://samsungparts.com/products/db93-05877j,DB93-05877J
Samsung DB31-00589A Motor Fan,DB31-00589A,221.95,https://samsungparts.com/products/db31-00589a,DB31-00589A; MOTOR
Samsung DB93-08392A Pcb Assembly Sub-Emi,DB93-08392A,195.95,https://samsungparts.com/products/db93-08392a,DB93-08392A
Samsung DB94-07195F Assembly Filter Dust,DB94-07195F,248.95,https://samsungparts.com/products/db94-07195f,DB94-07195F
Samsung DB31-10083A Motor-Fan Out,DB31-10083A,232.95,https://samsungparts.com/products/db31-10083a,DB31-10083A; MOTOR
Samsung DB92-02783A Main Pcb Assembly,DB92-02783A,222.95,https://samsungparts.com/products/db92-02783a,DB92-02783A
Samsung DB90-05906E Assembly Cabi Front Rh,DB90-05906E,197.95,https://samsungparts.com/products/db90-05906e,DB90-05906E
Samsung DB94-02961A Assembly Tray Drain,DB94-02961A,163.95,https://samsungparts.com/products/db94-02961a,DB94-02961A
Samsung DB93-12258A Assembly Control Out-Sub,DB93-12258A,184.95,https://samsungparts.com/products/db93-12258a,DB93-12258A; CONTROL
Samsung DB93-02514B Main Pcb Assembly-In,DB93-02514B,159.95,https://samsungparts.com/products/db93-02514b,DB93-02514B
Samsung DB92-03105L Main Board In,DB92-03105L,197.95,https://samsungparts.com/products/db92-03105l,DB92-03105L
Samsung DB31-00056D Motor Fan,DB31-00056D,162.95,https://samsungparts.com/products/db31-00056d,DB31-00056D; MOTOR
Samsung DB92-02787B Main Pcb Assembly,DB92-02787B,249.95,https://samsungparts.com/products/db92-02787b,DB92-02787B
Samsung DB96-18995B Assembly Evap Main,DB96-18995B,154.95,https://samsungparts.com/products/db96-18995b,DB96-18995B
Samsung DB92-03931A Main Pcb Assembly,DB92-03931A,229.95,https://samsungparts.com/products/db92-03931a,DB92-03931A
Samsung DB31-00001A Motor-Fan Out,DB31-00001A,154.95,https://samsungparts.com/products/db31-00001a,DB31-00001A; MOTOR
Samsung DB62-09632A Valve Solenoid,DB62-09632A,221.95,https://samsungparts.com/products/db62-09632a,DB62-09632A; VALVE
Samsung DB31-00446B Motor Fan,DB31-00446B,187.95,https://samsungparts.com/products/db31-00446b,DB31-00446B; MOTOR
Samsung DB31-00649G Pump Drain,DB31-00649G,165.95,https://samsungparts.com/products/db31-00649g,DB31-00649G
Samsung DB94-02668B Assembly Drain-Pump,DB94-02668B,141.95,https://samsungparts.com/products/db94-02668b,DB94-02668B
Samsung 3601-001339 Fuse-Cartridge,3601-001339,6.95,https://samsungparts.com/products/3601-001339,3601-001339
